,time,year,month,day,hour,minute,day_of_week,cluster_1,cluster_2,cluster_3,rain,temp,rhum,available_bikes
23,2018-08-01 12:30:02,2018,8,1,12,30,2,0.19230769230769232,0.07381676074685194,0.1988360814742968,2.0,15.7,89,0
24,2018-08-01 13:00:01,2018,8,1,13,0,2,0.2272727272727273,0.08684324793747286,0.32007759456838025,1.1,16.3,86,0
25,2018-08-01 13:30:01,2018,8,1,13,30,2,0.3409090909090909,0.09552757273122016,0.27643064985451016,1.1,16.3,86,0
26,2018-08-01 14:00:01,2018,8,1,14,0,2,0.13986013986013987,0.14329135909683022,0.4364694471387003,0.0,17.1,77,0
27,2018-08-01 14:30:02,2018,8,1,14,30,2,0.23601398601398602,0.1910551454624403,0.4122211445198836,0.0,17.1,77,0
28,2018-08-01 15:00:02,2018,8,1,15,0,2,0.32342657342657344,0.2778983933999132,0.8632395732298739,0.0,17.5,75,1
29,2018-08-01 15:30:02,2018,8,1,15,30,2,0.47202797202797203,0.2344767694311767,0.9553831231813772,0.0,17.5,75,4
30,2018-08-01 16:00:02,2018,8,1,16,0,2,0.5856643356643356,0.37776812852800706,1.2415130940834145,0.0,18.2,74,3
31,2018-08-01 16:30:02,2018,8,1,16,30,2,0.506993006993007,0.37776812852800706,1.5227934044616878,0.0,18.2,74,3
32,2018-08-01 17:00:02,2018,8,1,17,0,2,0.4545454545454546,0.30395136778115506,0.9747817652764308,0.0,18.1,77,0
33,2018-08-01 17:30:03,2018,8,1,17,30,2,0.2972027972027972,0.2127659574468085,0.6207565470417071,0.0,18.1,77,2
34,2018-08-01 18:00:03,2018,8,1,18,0,2,0.3321678321678322,0.2822405557967868,0.5625606207565471,0.0,18.9,75,5
35,2018-08-01 18:30:03,2018,8,1,18,30,2,0.1835664335664336,0.17802865827181935,0.4413191076624636,0.0,18.9,75,9
36,2018-08-01 19:00:03,2018,8,1,19,0,2,0.2097902097902098,0.2040816326530612,0.44616876818622697,0.0,18.4,80,9
37,2018-08-01 19:30:03,2018,8,1,19,30,2,0.30594405594405594,0.21710811984368214,0.3394762366634336,0.0,18.4,80,8
38,2018-08-01 20:00:01,2018,8,1,20,0,2,0.3758741258741258,0.16066000868432478,0.29582929194956353,0.0,18.3,82,9
39,2018-08-01 20:30:02,2018,8,1,20,30,2,0.2797202797202797,0.1910551454624403,0.28612997090203685,0.0,18.3,82,10
40,2018-08-01 21:00:02,2018,8,1,21,0,2,0.2272727272727273,0.18671298306556666,0.2909796314258002,0.0,18.1,84,10
41,2018-08-01 21:30:02,2018,8,1,21,30,2,0.30594405594405594,0.11289622231871473,0.3734238603297769,0.0,18.1,84,11
42,2018-08-01 22:00:02,2018,8,1,22,0,2,0.26223776223776224,0.11723838471558835,0.24733268671193015,0.1,17.9,86,13
43,2018-08-01 22:30:02,2018,8,1,22,30,2,0.2534965034965035,0.06513243595310464,0.2036857419980601,0.1,17.9,86,15
44,2018-08-01 23:00:02,2018,8,1,23,0,2,0.08741258741258742,0.017368649587494574,0.16488845780795344,0.0,18.0,86,15
45,2018-08-01 23:30:02,2018,8,1,23,30,2,0.026223776223776224,0.008684324793747287,0.0921435499515034,0.0,18.0,86,15
2578,2018-08-02 00:00:01,2018,8,2,0,0,3,0.0,0.0,0.0,0.0,17.8,87,15
2579,2018-08-02 00:30:02,2018,8,2,0,30,3,,,,0.0,17.8,87,15
2580,2018-08-02 01:00:02,2018,8,2,1,0,3,,,,0.0,17.8,87,15
2581,2018-08-02 01:30:05,2018,8,2,1,30,3,,,,0.0,17.8,87,15
2582,2018-08-02 02:00:02,2018,8,2,2,0,3,,,,0.0,17.2,90,15
2583,2018-08-02 02:30:03,2018,8,2,2,30,3,,,,0.0,17.2,90,15
2584,2018-08-02 03:00:02,2018,8,2,3,0,3,,,,0.0,17.5,89,15
2585,2018-08-02 03:30:02,2018,8,2,3,30,3,,,,0.0,17.5,89,15
2586,2018-08-02 04:00:02,2018,8,2,4,0,3,,,,0.0,17.4,90,15
2587,2018-08-02 04:30:02,2018,8,2,4,30,3,,,,0.0,17.4,90,14
2588,2018-08-02 05:00:02,2018,8,2,5,0,3,0.2185314685314685,0.1693443334780721,0.1066925315227934,0.0,17.5,89,13
